cluster_id,cluster_size,n_referral_edges,referral_tree_depth,graph_density,fan_out_ratio,signup_span_hours,signups_per_hour,n_unique_devices,n_unique_ips,n_unique_instruments,device_reuse_ratio,ip_reuse_ratio,instrument_reuse_ratio,addr_concentration_ratio,top_instrument_share,top_device_share,avg_txn_post_signup,avg_txn_value_post_signup,avg_active_days_post_signup,pct_zero_engagement,total_bonus_claimed,avg_bonus_claimed,_true_cluster_type,label_fraud
comp_0,14,13,1,0.0,1.0,5.761666666666667,3.475877009764321,2,3,2,0.8573396816800544,0.7375992557194161,0.9972632090427718,0.7907837693954981,0.5559677681474113,0.6103044650046855,1.0903178208499262,1212.336145236033,1.19255110408109,0.47326905518592194,2961.35826111563,262.8260257456545,FRAUD_RING,1
comp_1,1,0,0,0.0,0.0,0.0,1.0853466984196996,1,1,1,0.04779928600135518,0.0,0.0,0.0,1.0,0.9425279339722603,1.520827107929445,2251.5702763292084,15.478471072147817,0.0,503.3883078205862,485.6440113983971,ORGANIC_SINGLE,0
comp_10,5,4,1,0.21034190460213836,0.6396589864186331,8.903628736944444,0.9483868674671316,5,1,4,0.0,0.6939493981093767,0.2633869359409791,0.5548087111363401,0.3714239006381691,0.28527189001098513,15.860293642125656,21447.0346928506,31.05379820977871,0.03405473842694523,1296.945665553576,206.00444830525558,FAMILY_FRIEND,0
comp_100,9,8,1,0.016807613904263052,1.0,0.8713888888888889,8.767110273713103,3,2,2,0.5241719724655028,0.8842663107852781,0.6941406874915165,0.963427042839849,0.8371165299728708,0.2954985187146463,0.954666509768475,1091.3852966342886,1.7070788688116656,0.3327781662110682,2716.0395712143554,276.35782008922956,FRAUD_RING,1
comp_1000,1,0,0,0.0,0.0,0.0,1.2927102056777888,1,1,1,0.0,0.0,0.1714444921123173,0.03883153964904902,1.0,0.9624318356536793,16.835295926524086,24311.206328636323,28.36471066056743,0.02430618647394565,234.46307918805013,238.08926254146618,ORGANIC_SINGLE,0
comp_1001,1,0,0,0.21232084768966653,0.1281983459138501,0.0,1.2675269690388413,1,1,1,0.0,0.0,0.012146489566282805,0.07918135810243998,1.0,1.0,8.520694405553854,21243.258914549908,62.64765203863656,0.1268175976793388,181.9332829395001,182.92107716708756,ORGANIC_SINGLE,0
comp_1002,1,0,0,0.0,0.021173894204078177,0.0,0.7384702286305918,1,1,1,0.009622976415590158,0.0,0.0,0.0,1.0,1.0,2.8007868553142727,8191.628134134228,18.926379412412842,0.0,505.0016984168616,324.24181180508884,ORGANIC_SINGLE,0
comp_1003,1,0,0,0.16670410236858918,0.003776561802095141,0.0,1.0045922588188823,1,1,1,0.21443443928872538,0.08905303592609648,0.02099916316774486,0.07715064381783542,1.0,1.0,30.93553290323262,64594.91709242625,62.221395624371894,0.0,51.68932354180342,54.50175211011848,ORGANIC_SINGLE,0
comp_1004,2,1,1,0.6248439138647717,0.400758617253823,77.27402676333334,0.024090819608361614,2,2,2,0.0,0.0,0.0571076729222029,0.4040290252440425,0.773549051362123,0.6906051556012158,23.898701217895063,35445.34598422973,10.731783872377093,0.0,697.5439934387213,371.3601493164201,FAMILY_FRIEND,0
comp_1005,1,0,0,0.0,0.08108375040153637,0.0,0.8496310124381038,1,1,1,0.0,0.0,0.004194781791603899,0.0,0.9757459675960488,1.0,26.57241655029396,27721.131462626272,45.784921563844826,0.10169012671630222,314.3506810968965,376.67576644822,ORGANIC_SINGLE,0
comp_1006,1,0,0,0.0,0.04235981404250171,0.0,0.7868495196662073,1,1,1,0.07837472802963172,0.0996250811486586,0.0,0.0,1.0,0.8401800771432061,3.1166765577958095,1957.3892499141632,24.389691643401893,0.051491889757697785,197.7057097940042,180.90145673624053,ORGANIC_SINGLE,0
